ter len 0 
bw5-rj_ac-01# show ac-config client | inc BW5-AP-
========= show sta status =========
AP    : ap name/radio id
Status: Speed/Power Save/Work Mode/Roaming State, E = enable power save, D = disable power save

Total Sta Num : 2447
STA MAC        IPV4 Address    AP                                       Wlan Vlan Status          Asso Auth       Net Auth        Up time     
-------------- --------------- ---------------------------------------- ---- ---- --------------- --------------- --------------- ------------
1865.90d3.1ca9 192.168.12.121  BW5-AP-1F09/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              0:00:16:09
1865.90d3.1e0b 192.168.14.45   BW5-AP-B102/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              1:14:43:58
1865.90d3.1e57 192.168.14.102  BW5-AP-1F04/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              0:12:02:56
1865.90d3.21cf 192.168.13.158  BW5-AP-1F04/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:12:10:41
1865.90d3.22df 192.168.14.242  BW5-AP-2F07/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              0:13:58:16
1865.90d3.22fd 192.168.14.111  BW5-AP-2F09/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              0:13:36:48
1865.90d3.2b61 192.168.15.183  BW5-AP-1F10/1                            8    25    144.5M/D/bgn   WPA2_PSK        OPEN              0:00:49:58
1865.90d3.2eab 192.168.13.77   BW5-AP-2F09/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              0:00:44:46
1865.90d3.374f 192.168.12.171  BW5-AP-2F08/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:01:58:39
1865.90d3.41b5 192.168.13.21   BW5-AP-1F10/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:00:31:53
1865.90d3.4229 192.168.14.98   BW5-AP-2F09/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:16:37:31
1865.90d3.4485 192.168.12.5    BW5-AP-B102/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              0:17:38:51
1865.90d3.44d7 192.168.12.213  BW5-AP-B110/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              0:00:10:04
1865.90d3.4657 192.168.12.161  BW5-AP-1F04/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              1:19:43:13
1865.90d3.46b9 192.168.14.224  BW5-AP-2F09/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              1:17:04:04
1865.90d3.4785 192.168.15.4    BW5-AP-B101/1                            8    25    144.5M/E/bgn   WPA2_PSK        OPEN              0:00:29:53
1865.90d3.47ab 192.168.13.51   BW5-AP-1F09/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              1:00:09:43
1865.90d3.4863 192.168.14.116  BW5-AP-B102/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:00:57:23
